"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.659615320E-1;4.794389009E-1;1.041477770E-1;9.825803757E0;9.838044922E0
4.679583020E-1;4.985924959E-1;8.978256583E-2;9.816226959E0;9.829291282E0
4.699550730E-1;4.794389009E-1;9.457096457E-2;9.816226959E0;9.828383236E0
4.719518440E-1;5.081692934E-1;9.457096457E-2;9.801861763E0;9.815481329E0
4.739486150E-1;5.081692934E-1;8.978256583E-2;9.821015358E0;9.834563519E0
4.759453860E-1;4.938040972E-1;9.457096457E-2;9.835380554E0;9.848223028E0
4.779421570E-1;4.938040972E-1;8.978256583E-2;9.821015358E0;9.833831708E0
4.799389270E-1;5.081692934E-1;8.499415964E-2;9.825803757E0;9.839302796E0
4.819356980E-1;5.081692934E-1;9.935937077E-2;9.825803757E0;9.839437371E0
4.839324690E-1;4.938040972E-1;8.978256583E-2;9.821015358E0;9.833831708E0
4.859292400E-1;4.985924959E-1;8.499415964E-2;9.825803757E0;9.838812832E0
4.879260110E-1;4.890156984E-1;9.935937077E-2;9.816226959E0;9.828902296E0
4.899227820E-1;5.033808947E-1;9.457096457E-2;9.816226959E0;9.829580241E0
4.919195520E-1;4.842272997E-1;9.457096457E-2;9.821015358E0;9.833400348E0
4.939163230E-1;4.985924959E-1;8.978256583E-2;9.825803757E0;9.838855363E0
4.959130940E-1;4.985924959E-1;8.499415964E-2;9.816226959E0;9.829248710E0
4.979098650E-1;5.033808947E-1;8.978256583E-2;9.806650162E0;9.819971519E0
4.999066360E-1;4.938040972E-1;9.935937077E-2;9.830592155E0;9.843488045E0
5.019034070E-1;4.938040972E-1;8.499415964E-2;9.825803757E0;9.838571337E0
5.039001250E-1;4.938040972E-1;8.978256583E-2;9.825803757E0;9.838613869E0
5.058968440E-1;4.985924959E-1;9.457096457E-2;9.816226959E0;9.829336186E0
5.078935630E-1;4.985924959E-1;9.457096457E-2;9.816226959E0;9.829336186E0
5.098902820E-1;5.033808947E-1;9.457096457E-2;9.835380554E0;9.848707866E0
5.118870000E-1;4.938040972E-1;8.499415964E-2;9.816226959E0;9.829006980E0
5.138837190E-1;4.890156984E-1;8.499415964E-2;9.821015358E0;9.833549869E0
5.158804380E-1;4.890156984E-1;8.499415964E-2;9.821015358E0;9.833549869E0
5.178771570E-1;4.938040972E-1;7.541735470E-2;9.825803757E0;9.838493265E0
5.198738750E-1;5.129576921E-1;8.499415964E-2;9.816226959E0;9.829987859E0
5.218705940E-1;4.890156984E-1;1.089361757E-1;9.816226959E0;9.829003772E0
5.238673130E-1;5.129576921E-1;8.499415964E-2;9.816226959E0;9.829987859E0
5.258640320E-1;4.938040972E-1;8.499415964E-2;9.821015358E0;9.833789156E0
5.278607500E-1;4.794389009E-1;1.137245819E-1;9.816226959E0;9.828586198E0
5.298574690E-1;4.842272997E-1;8.020575345E-2;9.825803757E0;9.838055118E0
5.318541880E-1;4.938040972E-1;8.499415964E-2;9.835380554E0;9.848135719E0
5.338509070E-1;4.985924959E-1;8.978256583E-2;9.825803757E0;9.838855363E0
5.358476250E-1;4.938040972E-1;8.020575345E-2;9.825803757E0;9.838531136E0
5.378443440E-1;4.938040972E-1;8.499415964E-2;9.811438560E0;9.824224810E0
5.398410630E-1;4.985924959E-1;7.062894851E-2;9.821015358E0;9.833917103E0
5.418377820E-1;4.985924959E-1;8.978256583E-2;9.816226959E0;9.829291282E0
5.438345000E-1;4.985924959E-1;9.457096457E-2;9.816226959E0;9.829336186E0
5.458312190E-1;5.033808947E-1;8.020575345E-2;9.825803757E0;9.839016453E0
