"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,3290;5,4704E-4;0,1762;0,0033;0,2429;0,0017;0,2797;4,3072E-4;0,2863;3,4951E-4;0,3725;1,0010E-7
0,3301;5,3001E-4;0,1766;0,0033;0,2433;0,0016;0,2811;4,2117E-4;0,2876;3,3855E-4;0,3740;-3,0737E-6
0,3313;5,1873E-4;0,1770;0,0033;0,2437;0,0016;0,2824;4,0806E-4;0,2888;3,3090E-4;0,3754;-5,6372E-6
0,3324;5,0552E-4;0,1774;0,0033;0,2441;0,0016;0,2837;3,9403E-4;0,2901;3,2252E-4;0,3769;-7,7246E-6
0,3335;4,9698E-4;0,1778;0,0034;0,2445;0,0016;0,2850;3,8507E-4;0,2913;3,1269E-4;0,3782;-9,9097E-6
0,3346;4,8531E-4;0,1783;0,0034;0,2450;0,0016;0,2862;3,7971E-4;0,2926;3,0530E-4;0,3796;-1,0032E-5
0,3358;4,7093E-4;0,1788;0,0034;0,2454;0,0016;0,2874;3,6933E-4;0,2939;2,9276E-4;0,3809;-1,0459E-5
0,3369;4,5941E-4;0,1793;0,0034;0,2459;0,0016;0,2886;3,5648E-4;0,2952;2,8405E-4;0,3823;-1,2009E-5
0,3379;4,5058E-4;0,1799;0,0034;0,2464;0,0015;0,2898;3,4535E-4;0,2965;2,7675E-4;0,3836;-1,4451E-5
0,3389;4,3974E-4;0,1805;0,0034;0,2470;0,0015;0,2909;3,3963E-4;0,2978;2,6850E-4;0,3850;-1,5732E-5
0,3399;4,3286E-4;0,1811;0,0034;0,2476;0,0015;0,2920;3,3129E-4;0,2990;2,6151E-4;0,3864;-1,9224E-5
0,3411;4,1856E-4;0,1817;0,0035;0,2482;0,0015;0,2932;3,2606E-4;0,3003;2,5208E-4;0,3878;-2,2202E-5
0,3423;4,0897E-4;0,1823;0,0035;0,2489;0,0015;0,2944;3,1450E-4;0,3017;2,4190E-4;0,3892;-2,2178E-5
0,3434;3,9959E-4;0,1828;0,0035;0,2496;0,0014;0,2957;3,0774E-4;0,3030;2,3721E-4;0,3906;-2,2581E-5
0,3446;3,8957E-4;0,1832;0,0035;0,2503;0,0014;0,2970;2,9729E-4;0,3043;2,2825E-4;0,3920;-2,2617E-5
0,3457;3,8125E-4;0,1837;0,0035;0,2509;0,0014;0,2983;2,9403E-4;0,3055;2,2188E-4;0,3934;-2,2983E-5
0,3467;3,7461E-4;0,1841;0,0035;0,2515;0,0014;0,2996;2,8390E-4;0,3068;2,1385E-4;0,3946;-2,3984E-5
0,3476;3,6492E-4;0,1844;0,0035;0,2521;0,0013;0,3010;2,7570E-4;0,3080;2,0738E-4;0,3957;-2,5461E-5
0,3485;3,5757E-4;0,1848;0,0035;0,2527;0,0013;0,3023;2,6457E-4;0,3092;2,0592E-4;0,3966;-2,7305E-5
0,3492;3,5556E-4;0,1852;0,0035;0,2534;0,0013;0,3036;2,6258E-4;0,3104;2,0067E-4;0,3974;-2,8745E-5
0,3499;3,4810E-4;0,1857;0,0035;0,2541;0,0013;0,3048;2,5286E-4;0,3115;1,9279E-4;0,3981;-3,0503E-5
0,3505;3,4370E-4;0,1862;0,0035;0,2547;0,0013;0,3060;2,4774E-4;0,3125;1,8750E-4;0,3988;-2,9075E-5
0,3513;3,3937E-4;0,1868;0,0035;0,2554;0,0012;0,3071;2,4103E-4;0,3136;1,8118E-4;0,3994;-3,2163E-5
0,3520;3,3435E-4;0,1873;0,0035;0,2561;0,0012;0,3081;2,3584E-4;0,3145;1,7829E-4;0,3999;-3,0955E-5
0,3528;3,3120E-4;0,1879;0,0035;0,2568;0,0012;0,3091;2,3368E-4;0,3155;1,7329E-4;0,4004;-3,5032E-5
0,3536;3,2581E-4;0,1886;0,0035;0,2576;0,0012;0,3100;2,3024E-4;0,3164;1,6581E-4;0,4009;-3,2261E-5
0,3543;3,1703E-4;0,1893;0,0036;0,2584;0,0012;0,3109;2,2155E-4;0,3173;1,6647E-4;0,4013;-3,3066E-5
0,3549;3,1095E-4;0,1901;0,0036;0,2594;0,0011;0,3118;2,2144E-4;0,3181;1,6311E-4;0,4017;-2,8586E-5
0,3556;3,0607E-4;0,1910;0,0036;0,2604;0,0011;0,3127;2,1527E-4;0,3189;1,5718E-4;0,4018;-3,2151E-5
0,3563;3,0464E-4;0,1919;0,0036;0,2614;0,0011;0,3136;2,1275E-4;0,3196;1,5600E-4;0,4019;-3,4336E-5
0,3570;2,9964E-4;0,1928;0,0036;0,2623;0,0010;0,3146;2,0498E-4;0,3203;1,5388E-4;0,4019;-3,2114E-5
0,3579;2,9391E-4;0,1938;0,0036;0,2632;0,0010;0,3156;2,0242E-4;0,3210;1,5055E-4;0,4019;-3,1650E-5
0,3589;2,9125E-4;0,1948;0,0036;0,2640;0,0010;0,3166;1,9538E-4;0,3218;1,4657E-4;0,4018;-3,1235E-5
0,3600;2,8534E-4;0,1956;0,0035;0,2648;9,8201E-4;0,3176;1,9119E-4;0,3226;1,4158E-4;0,4017;-2,8464E-5
0,3612;2,7702E-4;0,1966;0,0035;0,2654;9,6594E-4;0,3186;1,8915E-4;0,3234;1,4204E-4;0,4017;-3,3567E-5
0,3625;2,6950E-4;0,1974;0,0035;0,2660;9,5502E-4;0,3198;1,8693E-4;0,3243;1,3843E-4;0,4017;-3,3262E-5
0,3638;2,6516E-4;0,1982;0,0035;0,2666;9,3880E-4;0,3209;1,7866E-4;0,3252;1,3507E-4;0,4017;-3,0723E-5
0,3651;2,5453E-4;0,1990;0,0035;0,2671;9,2482E-4;0,3220;1,7743E-4;0,3262;1,3152E-4;0,4017;-3,2786E-5
0,3663;2,4698E-4;0,1998;0,0035;0,2678;9,1125E-4;0,3230;1,7089E-4;0,3272;1,2953E-4;0,4017;-3,0308E-5
0,3675;2,4258E-4;0,2005;0,0035;0,2685;8,9704E-4;0,3241;1,7034E-4;0,3285;1,2385E-4;0,4017;-2,9465E-5
0,3685;2,3886E-4;0,2011;0,0035;0,2692;8,7697E-4;0,3251;1,6646E-4;0,3298;1,1782E-4;0,4017;-3,3909E-5
0,3696;2,3345E-4;0,2017;0,0035;0,2702;8,6090E-4;0,3262;1,6410E-4;0,3311;1,1845E-4;0,4017;-3,1467E-5
0,3707;2,2666E-4;0,2023;0,0034;0,2711;8,3543E-4;0,3270;1,6500E-4;0,3325;1,1060E-4;0,4017;-2,9209E-5
0,3718;2,2212E-4;0,2029;0,0034;0,2722;8,1743E-4;0,3278;1,5686E-4;0,3338;1,0756E-4;0,4017;-3,4189E-5
0,3729;2,1591E-4;0,2034;0,0034;0,2733;7,9127E-4;0,3285;1,5313E-4;0,3349;1,0241E-4;0,4017;-2,9404E-5
0,3740;2,1088E-4;0,2040;0,0034;0,2745;7,6988E-4;0,3292;1,5069E-4;0,3360;9,9221E-5;0,4017;-2,9832E-5
0,3751;2,1018E-4;0,2045;0,0034;0,2757;7,4516E-4;0,3300;1,5357E-4;0,3372;9,7024E-5;0,4017;-3,2200E-5
0,3762;2,0343E-4;0,2050;0,0034;0,2769;7,2176E-4;0,3307;1,4928E-4;0,3384;9,3728E-5;0,4017;-2,8770E-5
0,3774;2,0121E-4;0,2055;0,0034;0,2780;7,0294E-4;0,3315;1,4623E-4;0,3396;9,1250E-5;0,4017;-3,3225E-5
0,3785;1,9821E-4;0,2061;0,0034;0,2790;6,8384E-4;0,3323;1,4546E-4;0,3407;9,0518E-5;0,4017;-3,2065E-5
0,3796;1,8987E-4;0,2067;0,0033;0,2800;6,6570E-4;0,3332;1,4494E-4;0,3419;8,6489E-5;0,4017;-3,3640E-5
0,3808;1,8704E-4;0,2073;0,0033;0,2808;6,5329E-4;0,3341;1,3860E-4;0,3430;8,4890E-5;0,4017;-3,1626E-5
0,3820;1,8021E-4;0,2079;0,0033;0,2816;6,3644E-4;0,3350;1,3493E-4;0,3441;8,0105E-5;0,4017;-3,1528E-5
0,3832;1,8079E-4;0,2085;0,0033;0,2823;6,3069E-4;0,3360;1,3455E-4;0,3452;8,1765E-5;0,4017;-3,0906E-5
0,3845;1,7368E-4;0,2092;0,0033;0,2829;6,1970E-4;0,3370;1,2973E-4;0,3462;7,7102E-5;0,4017;-3,3176E-5
0,3858;1,6797E-4;0,2100;0,0032;0,2835;6,0960E-4;0,3381;1,2958E-4;0,3470;7,1694E-5;0,4017;-3,0015E-5
0,3871;1,6342E-4;0,2108;0,0032;0,2841;5,9766E-4;0,3391;1,2699E-4;0,3478;6,9717E-5;0,4017;-2,9563E-5
0,3885;1,5866E-4;0,2117;0,0032;0,2847;5,8817E-4;0,3402;1,2362E-4;0,3485;6,8972E-5;0,4017;-3,3140E-5
0,3899;1,5663E-4;0,2126;0,0031;0,2853;5,7741E-4;0,3412;1,2191E-4;0,3492;6,8240E-5;0,4017;-2,9160E-5
0,3914;1,5037E-4;0,2136;0,0031;0,2860;5,6995E-4;0,3422;1,1850E-4;0,3499;6,6824E-5;0,4017;-3,4434E-5
0,3929;1,4253E-4;0,2146;0,0031;0,2867;5,5956E-4;0,3431;1,1468E-4;0,3506;6,8826E-5;0,4017;-3,1760E-5
